Name,Bugs,Vulnerabilities,Code Smells,Duplication,#LOC,,Vulnerability 1,Vulnerability 2,Vulnerability 3
fr.mesoigner.app___1.10.4.apk,335,2,7440,2.3,90367,,Use secure mode and padding scheme (2),,
gov.azdhs.covidwatch.android___1.0.30.apk,,,,,,missed,,,
gov.cdc.general___3.1.1.apk,941,4,19688,2.9,273259,,Change this code to use a stronger protocol (2),Use secure mode and padding scheme (2),
gov.de.covidtracker___1.0.1.apk,,,,,,missed,,,
gov.fema.mobile.android___2.11.1.apk,435,0,11232,3.2,114728,,,,
gov.harriscountytx.harriscountypublichealth___4.1.0.apk,249,4,7812,5.1,80536,,Change this code to use a stronger protocol (3),Enable server certificate validation on this SSL/TLS connection,
gov.hhs.samhsa.app.bullying___2.1.apk,354,0,9348,2.2,96503,,,,
gov.in.isdh.inwic___3.0.apk,566,0,15440,5.2,171556,,,,
gov.medicare.coverage___2.1.20.apk,261,3,8056,1.9,81753,,Enable server certificate validation on this SSL/TLS connection (2),Lower the visibility of this setter or remove it altogether,
gov.michigan.MiCovidExposure___1.0.apk,134,0,6215,7.1,21838,,,,
gov.nv.dhhs.en___1.2.11.apk,628,5,15803,3.8,189087,,Use secure mode and padding scheme (4),Use “Files.createTempDirectory” or a library function to create this directory intstead. (sonar.java.source. Assuming 7 or greater.),
gov.nyc.hra.SelfService___2.4.apk,,,,,,missed,,,
gov.pa.dhs.compassmobile___6.0.0.0.apk,,,,,,missed,,,
gov.vdh.exposurenotification___1.0.apk,1145,0,19752,5.3,260762,,,,
gov.wisconsin.dhs.accessmobile___2.3.0.apk,,,,,,missed,,,
is.landlaeknir.rakning___2.1.2.apk,1115,2,26370,3.2,325871,,Change this code to use a stronger protocol (2),,
it.adl.aslroma3.covid19.app___1.0.4.apk,621,3,15290,4,218482,,Lower the visibility of this field (3),,
it.androweb.SexOS___2.0.apk,187,3,5513,2.7,77121,,Enable server certificate validation on this SSL/TLS connection (3),,
it.codeatlas.tmtworld.congress___1.0.5.apk,731,0,12795,2,122619,,,,
it.dr.prontuariofarmaceutico___1.0.apk,35,0,2116,6.8,26336,,,,
it.farmacialevorato___1.4.0.apk,435,0,9013,2.6,107694,,,,
it.fasv.videoinsight___2.0.4.apk,171,0,4284,1.4,55219,,,,
it.lispa.sire.app.mobile.allertalom___1.7.0.apk,246,2,6011,1.4,74812,,Use secure mode and padding scheme (1),Change this code to use a stronger protocol (1),
it.ministerodellasalute.immuni___1.5.0.apk,1560,1,25562,4.8,349269,,Change this code to use a stronger protocol (1),,
it.nealogic.energylive___2.2.apk,477,0,12340,3.6,138731,,,,
it.regione.sardegna.autorizzazionicovid19___1.3.7.apk,,,,,,missed,,,
it.softmining.projects.covid19.savelifestyle___5.1.apk,116,0,5046,3.5,20662,,,,
it.xchannel.cnop___2.3.0.apk,26,0,724,2.2,5390,,,,
jp.co.maff.maffapp___1.0.4.apk,419,0,8486,2,118975,,,,
jp.co.sportsoasis.webgym___2.1.2.apk,,,,,,missed,,,
jp.co.sportsoasis.webgym___2.2.1.apk,,,,,,,,,
jp.go.mhlw.covid19radar___1.1.4.apk,1254,0,15429,4.4,176454,,,,
jp.gr.java_conf.fum.android.stepwalk___3.44.apk,69,0,806,0.2,6469,,,,
jp.gr.java_conf.fum.android.stepwalk___3.45.apk,70,0,813,0.2,6470,,,,
net.hscni.covid19ni___2.0.apk,1649,1,14735,5.7,159904,,Disable access to external entities in XML parsing (1),,
nl.boomerweb.medicatiecontrolecross___1.14.2.apk,588,0,10871,3.4,155267,,,,
